0.000 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@INACTIVE running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_hdg disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.968, NAV_HEADING=89.985, NAV_PITCH=0.018, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.968}
44.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=314.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.391, NAV_HEADING=136.284, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.060, NAV_X=9.577, NAV_Y=-4.447, NAV_YAW=-2.379, NAV_Z=-3.391}
46.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=313.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.490, NAV_HEADING=136.984, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.060, NAV_X=10.058, NAV_Y=-4.781, NAV_YAW=-2.391, NAV_Z=-3.490}
48.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=312.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.590, NAV_HEADING=138.045, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.062, NAV_X=10.534, NAV_Y=-5.121, NAV_YAW=-2.409, NAV_Z=-3.590}
50.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=311.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.690, NAV_HEADING=138.799, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.291, NAV_VX=0.285, NAV_VY=0.062, NAV_X=11.006, NAV_Y=-5.467, NAV_YAW=-2.423, NAV_Z=-3.690}
52.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=310.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.790, NAV_HEADING=139.781, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.285, NAV_VY=0.063, NAV_X=11.474, NAV_Y=-5.820, NAV_YAW=-2.440, NAV_Z=-3.790}
54.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=309.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.890, NAV_HEADING=141.427, NAV_PITCH=0.021, NAV_ROLL=0.001, NAV_SPEED=0.292, NAV_VX=0.284, NAV_VY=0.067, NAV_X=11.937, NAV_Y=-6.178, NAV_YAW=-2.468, NAV_Z=-3.890}
56.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=307.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.991, NAV_HEADING=142.669, NAV_PITCH=0.021, NAV_ROLL=0.000, NAV_SPEED=0.292, NAV_VX=0.283, NAV_VY=0.069, NAV_X=12.394, NAV_Y=-6.544, NAV_YAW=-2.490, NAV_Z=-3.991}
58.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=281.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.092, NAV_HEADING=145.939, NAV_PITCH=0.019, NAV_ROLL=0.001, NAV_SPEED=0.308, NAV_VX=0.298, NAV_VY=0.079, NAV_X=12.849, NAV_Y=-6.922, NAV_YAW=-2.547, NAV_Z=-4.092}
60.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=279.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.193, NAV_HEADING=156.620, NAV_PITCH=0.001, NAV_ROLL=0.002, NAV_SPEED=0.302, NAV_VX=0.276, NAV_VY=0.122, NAV_X=13.307, NAV_Y=-7.328, NAV_YAW=-2.734, NAV_Z=-4.193}
62.200 [ros_helm] status=running uptime_s=0.0 mode=MODE@ACTIVE:SURVEYING running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_hdg disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=277.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.298, NAV_HEADING=164.717, NAV_PITCH=0.001, NAV_ROLL=0.000, NAV_SPEED=0.298, NAV_VX=0.261, NAV_VY=0.144, NAV_X=13.738, NAV_Y=-7.744, NAV_YAW=-2.875, NAV_Z=-4.298}
