0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
0.110 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
2.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=waypt_survey,waypt_return,const_speed disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=1.966, NAV_HEADING=89.999, NAV_PITCH=0.017, NAV_ROLL=-0.001, NAV_SPEED=0.005, NAV_VX=-0.005, NAV_VY=0.000, NAV_X=-0.006, NAV_Y=0.000, NAV_YAW=-1.571, NAV_Z=-1.966}
44.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=316.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.362, NAV_HEADING=135.227, NAV_PITCH=0.025, NAV_ROLL=-0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.046, NAV_X=9.429, NAV_Y=-4.660, NAV_YAW=-2.360, NAV_Z=-3.362}
46.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=315.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.460, NAV_HEADING=135.125, NAV_PITCH=0.024, NAV_ROLL=-0.000, NAV_SPEED=0.291, NAV_VX=0.287, NAV_VY=0.043, NAV_X=9.899, NAV_Y=-5.007, NAV_YAW=-2.358, NAV_Z=-3.460}
48.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=315.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.559, NAV_HEADING=135.354, NAV_PITCH=0.024, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.287, NAV_VY=0.043, NAV_X=10.367, NAV_Y=-5.356, NAV_YAW=-2.362, NAV_Z=-3.559}
50.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=314.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.657, NAV_HEADING=135.720, NAV_PITCH=0.023, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.287, NAV_VY=0.043, NAV_X=10.831, NAV_Y=-5.708, NAV_YAW=-2.369, NAV_Z=-3.657}
52.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=313.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.756, NAV_HEADING=136.510, NAV_PITCH=0.022, NAV_ROLL=0.000, NAV_SPEED=0.290, NAV_VX=0.286, NAV_VY=0.045, NAV_X=11.294, NAV_Y=-6.063, NAV_YAW=-2.383, NAV_Z=-3.756}
54.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=286.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.856, NAV_HEADING=138.115, NAV_PITCH=0.021, NAV_ROLL=0.000, NAV_SPEED=0.298, NAV_VX=0.293, NAV_VY=0.049, NAV_X=11.755, NAV_Y=-6.421, NAV_YAW=-2.411, NAV_Z=-3.856}
56.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=284.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=3.957, NAV_HEADING=151.378, NAV_PITCH=-0.002, NAV_ROLL=0.002, NAV_SPEED=0.303, NAV_VX=0.282, NAV_VY=0.112, NAV_X=12.233, NAV_Y=-6.809, NAV_YAW=-2.642, NAV_Z=-3.957}
58.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=282.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.061, NAV_HEADING=160.678, NAV_PITCH=-0.004, NAV_ROLL=-0.000, NAV_SPEED=0.297, NAV_VX=0.262, NAV_VY=0.140, NAV_X=12.685, NAV_Y=-7.201, NAV_YAW=-2.804, NAV_Z=-4.061}
60.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=280.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.168, NAV_HEADING=166.803, NAV_PITCH=0.007, NAV_ROLL=-0.001, NAV_SPEED=0.297, NAV_VX=0.258, NAV_VY=0.147, NAV_X=13.107, NAV_Y=-7.620, NAV_YAW=-2.911, NAV_Z=-4.168}
62.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=waypt_survey idle_behaviors=waypt_return,const_speed disabled_behaviors=none DEPLOY=true RETURN=false DESIRED={DESIRED_HEADING=279.000, DESIRED_SPEED=1.000} NAV={NAV_DEPTH=4.276, NAV_HEADING=171.012, NAV_PITCH=0.014, NAV_ROLL=-0.000, NAV_SPEED=0.299, NAV_VX=0.261, NAV_VY=0.146, NAV_X=13.494, NAV_Y=-8.074, NAV_YAW=-2.985, NAV_Z=-4.276}
