0.000 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=0.000, NAV_HEADING=0.000, NAV_SPEED=0.000, NAV_X=0.000, NAV_Y=0.000}
44.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.510, NAV_HEADING=89.966, NAV_PITCH=0.036, NAV_ROLL=0.000, NAV_SPEED=0.037, NAV_VX=0.037, NAV_VY=-0.000, NAV_X=-4.057, NAV_Y=-5.014, NAV_YAW=-1.570, NAV_Z=-71.510}
46.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.620, NAV_HEADING=89.971, NAV_PITCH=0.035, NAV_ROLL=-0.000, NAV_SPEED=0.038, NAV_VX=0.038, NAV_VY=-0.000, NAV_X=-3.978, NAV_Y=-5.014, NAV_YAW=-1.570, NAV_Z=-71.620}
48.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.730, NAV_HEADING=89.965, NAV_PITCH=0.035, NAV_ROLL=-0.000, NAV_SPEED=0.039, NAV_VX=0.039, NAV_VY=-0.000, NAV_X=-3.897, NAV_Y=-5.015, NAV_YAW=-1.570, NAV_Z=-71.730}
50.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.839, NAV_HEADING=89.978, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.040, NAV_VX=0.040, NAV_VY=-0.000, NAV_X=-3.814, NAV_Y=-5.016, NAV_YAW=-1.570, NAV_Z=-71.839}
52.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=71.949, NAV_HEADING=89.967, NAV_PITCH=0.035, NAV_ROLL=0.000, NAV_SPEED=0.040, NAV_VX=0.040, NAV_VY=-0.000, NAV_X=-3.730, NAV_Y=-5.016, NAV_YAW=-1.570, NAV_Z=-71.949}
54.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=72.059, NAV_HEADING=89.981, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.041, NAV_VX=0.041, NAV_VY=-0.000, NAV_X=-3.645, NAV_Y=-5.017, NAV_YAW=-1.570, NAV_Z=-72.059}
56.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=72.169, NAV_HEADING=89.972, NAV_PITCH=0.035, NAV_ROLL=0.000, NAV_SPEED=0.042, NAV_VX=0.042, NAV_VY=-0.000, NAV_X=-3.558, NAV_Y=-5.018, NAV_YAW=-1.570, NAV_Z=-72.169}
58.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=72.279, NAV_HEADING=89.966, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.042, NAV_VX=0.042, NAV_VY=-0.000, NAV_X=-3.470, NAV_Y=-5.018, NAV_YAW=-1.570, NAV_Z=-72.279}
60.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=72.389, NAV_HEADING=89.975, NAV_PITCH=0.036, NAV_ROLL=-0.000, NAV_SPEED=0.043, NAV_VX=0.043, NAV_VY=-0.000, NAV_X=-3.381, NAV_Y=-5.019, NAV_YAW=-1.570, NAV_Z=-72.389}
62.200 [ros_helm] status=running uptime_s=0.0 mode=unknown running_behaviors=none active_behaviors=none idle_behaviors=gotodepth_lift,const_speed_survey,const_depth_survey,waypt_survey,const_speed_return,waypt_returning,const_depth_return,station-keep,bhv_depth,const_hdg,gotodepth_detect,const_speed_detect,const_depth_detect,waypt_detect disabled_behaviors=none DEPLOY=false RETURN=false DESIRED={none} NAV={NAV_DEPTH=72.499, NAV_HEADING=89.989, NAV_PITCH=0.035, NAV_ROLL=0.000, NAV_SPEED=0.043, NAV_VX=0.043, NAV_VY=-0.000, NAV_X=-3.291, NAV_Y=-5.020, NAV_YAW=-1.571, NAV_Z=-72.499}
